from,to,timestamp,value
0x027beefcbad782faf69fad12dee97ed894c68549,0xbc6b9820d734aa22bfa70a3ff4e30faa5be5d164,"2017.03.12, 22:14:04",40.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x86de80984e0f5bbcf2ec263d49a2687ee34327a3,"2017.03.12, 23:01:40",119.26055001
0x027beefcbad782faf69fad12dee97ed894c68549,0xeefe2726643d1882176c34271c5abb47abd2bd59,"2017.03.12, 23:14:04",61.3313517
0x027beefcbad782faf69fad12dee97ed894c68549,0x45083c507882cb7b638f660762b28e2f1a504f73,"2017.03.12, 23:29:12",386.7
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8a832d2463d9aa70716e824798ce9e7439b27d1,"2017.03.12, 23:29:12",601.2
0x027beefcbad782faf69fad12dee97ed894c68549,0xeefe2726643d1882176c34271c5abb47abd2bd59,"2017.03.12, 23:42:43",10.88972222
0x027beefcbad782faf69fad12dee97ed894c68549,0xd108a4a01f70e1052391cd3c1b7e9324ed48f7ab,"2017.03.12, 23:56:39",34.398571430000004
0x027beefcbad782faf69fad12dee97ed894c68549,0xe23830f7f5a7eb0149e5e714cd0adf1358cce163,"2017.03.13, 00:02:04",1.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x2cd78da2ef705d5e34166a4fab1fcd8fabf32106,"2017.03.13, 00:28:01",10.869218
0x027beefcbad782faf69fad12dee97ed894c68549,0x2cd78da2ef705d5e34166a4fab1fcd8fabf32106,"2017.03.13, 00:36:13",10.2886598
0x027beefcbad782faf69fad12dee97ed894c68549,0x173f68cb2d0bd1ff7933b08dbc470c5c7794c21c,"2017.03.13, 00:43:31",1.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xe065918e4144bdfc05d56114be7d7841e90b28d3,"2017.03.13, 00:51:20",5.97183749
0x027beefcbad782faf69fad12dee97ed894c68549,0x173f68cb2d0bd1ff7933b08dbc470c5c7794c21c,"2017.03.13, 01:04:24",94.6792
0x027beefcbad782faf69fad12dee97ed894c68549,0x18174a4959794a2f22a0b93367707bd3c3962264,"2017.03.13, 01:15:08",4.975
0x027beefcbad782faf69fad12dee97ed894c68549,0x5ba035841039fb649dda184f5b2e1f338ba12d00,"2017.03.13, 02:13:10",4.51443631
0x027beefcbad782faf69fad12dee97ed894c68549,0xfc2a0bc2e6f5c38c069157ec572974d81eee281b,"2017.03.13, 02:15:23",39.8
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8723f9787a1797d4f17f6a702236b04280be824,"2017.03.13, 02:50:30",80.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xf089ffca130a83dde34fd82a00890819d35a5f0e,"2017.03.13, 03:03:22",2.67473118
0x027beefcbad782faf69fad12dee97ed894c68549,0x90f98029af65b542464403344f5d0255ff5e52be,"2017.03.13, 03:31:08",24.097031209999997
0x027beefcbad782faf69fad12dee97ed894c68549,0x6eae843eb4f3b5246cdcc0b4eba5e28137f17d2b,"2017.03.13, 04:07:05",47.13366439
0x027beefcbad782faf69fad12dee97ed894c68549,0x149404a4d6f370448b868d9623916009f005b8a4,"2017.03.13, 04:29:19",193.74368399000002
0x027beefcbad782faf69fad12dee97ed894c68549,0x61e530f65d9701120a12f33e3b50eb6945d48e5a,"2017.03.13, 04:52:46",2.985
0x027beefcbad782faf69fad12dee97ed894c68549,0x3bfd4631e9c40303901c5537e0e4a560371e129d,"2017.03.13, 05:19:34",4.49644
0x027beefcbad782faf69fad12dee97ed894c68549,0x1313bc4d8e445b0cf071b2784bee397c84274a7b,"2017.03.13, 05:41:46",5.38892
0x027beefcbad782faf69fad12dee97ed894c68549,0x05ce0ba1282109224eadcecd066f9bb850831a46,"2017.03.13, 05:54:09",165.26904188
0x027beefcbad782faf69fad12dee97ed894c68549,0x79855af491352646e73bd12d7b92d6c814e71b4c,"2017.03.13, 05:58:15",800.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x2f4da5da4510af0c268a5db0b719d8fb72f4dfe0,"2017.03.13, 06:29:09",0.05
0x027beefcbad782faf69fad12dee97ed894c68549,0xcd12f20c28ff2ffc4b0a00a4a1da71749ddea9fc,"2017.03.13, 07:13:22",100.0
0x027beefcbad782faf69fad12dee97ed894c68549,0xfa3ff8d901970deb933ded636c9505fa7cca140e,"2017.03.13, 07:47:15",2.3691945
0x027beefcbad782faf69fad12dee97ed894c68549,0xfcde4905379f21f1b25ec1590e34e3de6226db73,"2017.03.13, 07:47:15",324.3
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8a832d2463d9aa70716e824798ce9e7439b27d1,"2017.03.13, 07:47:15",931.7
0x027beefcbad782faf69fad12dee97ed894c68549,0x7a119215754705ba996b2f9b9c47bd5713b344d5,"2017.03.13, 07:47:15",941.3
0x027beefcbad782faf69fad12dee97ed894c68549,0x45083c507882cb7b638f660762b28e2f1a504f73,"2017.03.13, 07:47:15",1550.8
0x027beefcbad782faf69fad12dee97ed894c68549,0xc38a78ad181640cbb9362a948e10f9f9766d4430,"2017.03.13, 07:49:26",1.106
0x027beefcbad782faf69fad12dee97ed894c68549,0xda2afc22a112c3329ec9abab6f1b67f411473b8d,"2017.03.13, 07:53:43",1.106
0x027beefcbad782faf69fad12dee97ed894c68549,0x8dda999ab12f46cad15ea24f852c895fea8ffb93,"2017.03.13, 08:03:01",0.64018798
0x027beefcbad782faf69fad12dee97ed894c68549,0x8dda999ab12f46cad15ea24f852c895fea8ffb93,"2017.03.13, 08:19:45",10.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x8dda999ab12f46cad15ea24f852c895fea8ffb93,"2017.03.13, 08:25:20",10.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x8dda999ab12f46cad15ea24f852c895fea8ffb93,"2017.03.13, 08:35:08",18.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x8dda999ab12f46cad15ea24f852c895fea8ffb93,"2017.03.13, 08:37:40",18.0
0x027beefcbad782faf69fad12dee97ed894c68549,0x45083c507882cb7b638f660762b28e2f1a504f73,"2017.03.13, 08:46:14",291.6
0x027beefcbad782faf69fad12dee97ed894c68549,0x68f08802d7d76ceab44ee5ead305b26e6a345026,"2017.03.13, 09:08:39",99.68608875
0x027beefcbad782faf69fad12dee97ed894c68549,0xd8a832d2463d9aa70716e824798ce9e7439b27d1,"2017.03.13, 09:20:05",470.4
0x027beefcbad782faf69fad12dee97ed894c68549,0x45083c507882cb7b638f660762b28e2f1a504f73,"2017.03.13, 09:20:45",791.7
0x027beefcbad782faf69fad12dee97ed894c68549,0x31afac7b8e2deb5e5deacc8e01267dd2aef65e5b,"2017.03.13, 09:45:37",5.56785417
0x027beefcbad782faf69fad12dee97ed894c68549,0x139278add5113c871ee8c156663b8afd14e5118c,"2017.03.13, 10:53:12",9.87703622
0x027beefcbad782faf69fad12dee97ed894c68549,0x68f08802d7d76ceab44ee5ead305b26e6a345026,"2017.03.13, 11:32:05",81.32286188
0x027beefcbad782faf69fad12dee97ed894c68549,0x68f08802d7d76ceab44ee5ead305b26e6a345026,"2017.03.13, 11:36:51",102.30940688
0x027beefcbad782faf69fad12dee97ed894c68549,0x68f08802d7d76ceab44ee5ead305b26e6a345026,"2017.03.13, 11:39:58",102.30940688
0x027beefcbad782faf69fad12dee97ed894c68549,0x9a70c20f414b76661ab3ad61be4c1b7a819d327f,"2017.03.13, 11:50:13",2.78154953
0x027beefcbad782faf69fad12dee97ed894c68549,0xe1d535153cb9036c5e68ec6ef5840d06870abe16,"2017.03.13, 11:56:21",1.136
0x027beefcbad782faf69fad12dee97ed894c68549,0xb03bb9cd32b627db172d81f284f2dabd1d6597d5,"2017.03.13, 12:02:20",1.136
